name,n_test,mae
A.J. Greer,36,0.08479933192332585
Aaron Ekblad,28,0.6099147370883397
Aatu Raty,14,0.21693000623158046
Adam Beckman,2,0.001150086522102356
Adam Boqvist,33,0.21687976880507034
Adam Edstrom,20,0.30125039964914324
Adam Fantilli,32,0.6527919359505177
Adam Fox,28,0.3469846128885235
Adam Gaudette,34,0.26903994512908597
Adam Henrique,36,0.30188394462068874
Adam Klapka,21,0.4315116916384016
Adam Larsson,31,0.36156248229165233
Adam Lowry,33,0.4568547516158133
Adam Pelech,25,0.20429726004600524
Adam Wilsby,11,0.0014735920862718062
Adin Hill,35,0.001028828535761152
Adrian Kempe,34,0.46056993130375357
Akil Thomas,33,0.0917666856989716
Akira Schmid,10,0.0006852537393569946
Albert Johansson,32,0.22053984738886356
Alec Martinez,23,0.1751843477072923
Aleksander Barkov,36,0.4073380111820168
Aleksei Kolosov,23,0.0003003782552221547
Aleksi Heimosalmi,1,0.001263052225112915
Ales Stezka,5,0.0005928009748458862
Alex Barré-Boulet,2,0.0011741966009140015
Alex DeBrincat,32,0.5276683843694627
Alex Iafallo,36,0.2543918920887841
Alex Killorn,32,0.5340066319331527
Alex Laferriere,34,0.3851981693330933
Alex Lyon,29,0.0007701177021552777
Alex Nedeljkovic,30,0.10293514827887217
Alex Newhook,34,0.20218844887088327
Alex Ovechkin,30,0.41517889002958935
Alex Pietrangelo,36,0.3871854030423694
Alex Steeves,7,0.29447624725954874
Alex Tuch,32,0.42257164092734456
Alex Turcotte,33,0.03443411173242511
Alex Vlasic,32,0.31467682868242264
Alexandar Georgiev,31,0.03312309807346713
Alexander Alexeyev,34,0.0009445425342111027
Alexander Holtz,26,0.04058534938555498
Alexander Kadeykin,2,0.0009875372052192688
Alexander Kerfoot,32,0.28649138705804944
Alexander Nikishin,4,0.001415647566318512
Alexander Nylander,6,0.000705095628897349
Alexander Pelevin,1,0.001263052225112915
Alexander Perevalov,1,0.001263052225112915
Alexander Petrovic,8,0.2505873516201973
Alexander Romanov,31,0.06644151912581536
Alexander Rykov,1,0.001263052225112915
Alexander Siryatsky,1,0.001263052225112915
Alexander Wennberg,32,0.3541458365507424
Alexandre Carrier,33,0.21376341220104333
Alexandre Doucet,2,0.0009875372052192688
Alexandre Texier,33,0.24524049054492603
Alexey Toropchenko,35,0.17441157570907048
Alexis Lafrenière,31,0.317805330599508
Aliaksei Protas,35,0.35983474467481885
Amadeus Lombardi,2,0.0009875372052192688
Anders Lee,31,0.35557257287925287
Andre Burakovsky,31,0.45698417578974077
Andre Lee,13,0.23166804703382346
Andreas Athanasiou,8,0.1257422585040331
Andreas Englund,31,0.09835552063680464
Andrei Kuzmenko,32,0.6250513619743288
Andrei Svechnikov,36,0.5104724679970079
Andrei Vasilevskiy,33,0.06156252730976452
Andrew Copp,23,0.4437339688124864
Andrew Mangiapane,35,0.20161229882921491
Andrew Peeke,32,0.1581861530430615
Andrey Krutov,1,0.001263052225112915
Angus Crookshank,6,0.16873286416133246
Anthony Beauvillier,38,0.21255668252706528
Anthony Cirelli,33,0.2474833805904244
Anthony Duclair,22,0.1385194483128461
Anthony Mantha,6,0.3358701442678769
Anthony Richard,7,0.17294310459068843
Anthony Stolarz,27,0.037624098636485914
Anton Forsberg,33,0.0007631227825627183
Anton Johansson,2,0.0009875372052192688
Anton Lundell,36,0.42156392625636524
Antonin Verreault,1,0.001263052225112915
Antti Tuomisto,2,0.0009875372052192688
Anttoni Honka,1,0.001263052225112915
Anze Kopitar,34,0.4695059510276598
Arber Xhekaj,34,0.20714243939694235
Arshdeep Bains,8,0.3821581592783332
Artem Zub,29,0.1738739301418436
Artemi Panarin,31,0.6215222687009843
Arthur Kaliyev,18,0.1672920344604386
Arttu Hyry,3,0.0008971591790517172
Artturi Lehkonen,29,0.5060396641492844
Artur Akhtyamov,2,0.0012786462903022766
Arturs Silovs,20,0.00041854605078697207
Artyom Levshunov,8,0.12822002544999123
Arvid Soderblom,11,0.00034673241051760584
Arvid Söderblom,21,0.0002914603267397199
Austin Baker,2,0.0009875372052192688
Austin Strand,2,0.0009875372052192688
Austin Watson,7,0.14380918868950435
Auston Matthews,32,0.45378471398726106
Axel Jonsson-Fjallby,3,0.001266653339068095
Aydar Suniev,4,0.0009705871343612671
Barclay Goodrow,30,0.23472776114940644
Barrett Hayton,32,0.4689426231198013
Beck Malenstyn,32,0.18867176910862327
Ben Chiarot,32,0.1576815927401185
Ben Hutton,30,0.06958001255989074
