name,n_test_rf,mae_rf,n_test_dss,mae_dss,delta_rf_minus_dss,winner
A.J. Greer,36,0.16574606821582563,36,0.08479933192332585,0.08094673629249978,DSS
Aaron Ekblad,28,0.5119292909766422,28,0.6099147370883397,-0.09798544611169746,RF
Aatu Raty,14,0.31777625302125495,14,0.21693000623158046,0.10084624678967449,DSS
Adam Beckman,2,0.08725877414790771,2,0.001150086522102356,0.08610868762580536,DSS
Adam Boqvist,33,0.27800944240496084,33,0.21687976880507034,0.061129673599890494,DSS
Adam Edstrom,20,0.3593506526204868,20,0.30125039964914324,0.05810025297134358,DSS
Adam Fantilli,32,0.6134215024544789,32,0.6527919359505177,-0.03937043349603875,RF
Adam Fox,28,0.5414078458504227,28,0.3469846128885235,0.19442323296189917,DSS
Adam Gaudette,34,0.29633246349290027,34,0.26903994512908597,0.0272925183638143,DSS
Adam Henrique,36,0.3211868013155035,36,0.30188394462068874,0.01930285669481474,DSS
Adam Klapka,21,0.3878576575935425,21,0.4315116916384016,-0.04365403404485907,RF
Adam Larsson,31,0.3354535359978357,31,0.36156248229165233,-0.02610894629381666,RF
Adam Lowry,33,0.33964175727613505,33,0.4568547516158133,-0.11721299433967824,RF
Adam Pelech,25,0.253074229623844,25,0.20429726004600524,0.04877696957783878,DSS
Adam Wilsby,11,0.16155350570049842,11,0.0014735920862718062,0.1600799136142266,DSS
Adin Hill,35,0.08412388094602749,35,0.001028828535761152,0.08309505241026634,DSS
Adrian Kempe,34,0.6073498986335918,34,0.46056993130375357,0.14677996732983822,DSS
Akil Thomas,33,0.16834410668109495,33,0.0917666856989716,0.07657742098212335,DSS
Akira Schmid,10,0.08482052387977866,10,0.0006852537393569946,0.08413527014042167,DSS
Albert Johansson,32,0.27374393972589695,32,0.22053984738886356,0.05320409233703338,DSS
Alec Martinez,23,0.256979416065411,23,0.1751843477072923,0.08179506835811873,DSS
Aleksander Barkov,36,0.4313812469944047,36,0.4073380111820168,0.02404323581238793,DSS
Aleksei Kolosov,23,0.08460850211733262,23,0.0003003782552221547,0.08430812386211047,DSS
Aleksi Heimosalmi,1,0.08116314847758505,1,0.001263052225112915,0.07990009625247213,DSS
Ales Stezka,5,0.0823822736116496,5,0.0005928009748458862,0.08178947263680371,DSS
Alex Barré-Boulet,2,0.08725877414790773,2,0.0011741966009140015,0.08608457754699372,DSS
Alex DeBrincat,32,0.6180661688674329,32,0.5276683843694627,0.0903977844979702,DSS
Alex Iafallo,36,0.2971313388884815,36,0.2543918920887841,0.04273944679969738,DSS
Alex Killorn,32,0.41882112260560156,32,0.5340066319331527,-0.11518550932755112,RF
Alex Laferriere,34,0.34261880686745816,34,0.3851981693330933,-0.04257936246563515,RF
Alex Lyon,29,0.08326508836390321,29,0.0007701177021552777,0.08249497066174794,DSS
Alex Nedeljkovic,30,0.19397467435058693,30,0.10293514827887217,0.09103952607171477,DSS
Alex Newhook,34,0.27237011250736176,34,0.20218844887088327,0.07018166363647849,DSS
Alex Ovechkin,30,0.2930649477555914,30,0.41517889002958935,-0.12211394227399797,RF
Alex Pietrangelo,36,0.3715420051963222,36,0.3871854030423694,-0.015643397846047236,RF
Alex Steeves,7,0.378718927021369,7,0.29447624725954874,0.08424267976182026,DSS
Alex Tuch,32,0.5803511511274282,32,0.42257164092734456,0.15777951020008363,DSS
Alex Turcotte,33,0.14728459942730845,33,0.03443411173242511,0.11285048769488334,DSS
Alex Vlasic,32,0.3182692183819359,32,0.31467682868242264,0.0035923896995132543,DSS
Alexandar Georgiev,31,0.11638505895673454,31,0.03312309807346713,0.0832619608832674,DSS
Alexander Alexeyev,34,0.08403167820479569,34,0.0009445425342111027,0.0830871356705846,DSS
Alexander Holtz,26,0.1704370956941565,26,0.04058534938555498,0.12985174630860152,DSS
Alexander Kadeykin,2,0.08116314847758506,2,0.0009875372052192688,0.08017561127236579,DSS
Alexander Kerfoot,32,0.3690075222341929,32,0.28649138705804944,0.08251613517614348,DSS
Alexander Nikishin,4,0.08725877414790773,4,0.001415647566318512,0.08584312658158921,DSS
Alexander Nylander,6,0.08319502370102595,6,0.000705095628897349,0.0824899280721286,DSS
Alexander Pelevin,1,0.08116314847758505,1,0.001263052225112915,0.07990009625247213,DSS
Alexander Perevalov,1,0.08116314847758506,1,0.001263052225112915,0.07990009625247214,DSS
Alexander Petrovic,8,0.3312743584272836,8,0.2505873516201973,0.08068700680708629,DSS
Alexander Romanov,31,0.16748536979245796,31,0.06644151912581536,0.10104385066664259,DSS
Alexander Rykov,1,0.08116314847758507,1,0.001263052225112915,0.07990009625247216,DSS
Alexander Siryatsky,1,0.08116314847758507,1,0.001263052225112915,0.07990009625247216,DSS
Alexander Wennberg,32,0.3737249004000631,32,0.3541458365507424,0.019579063849320733,DSS
Alexandre Carrier,33,0.22885394508872392,33,0.21376341220104333,0.015090532887680586,DSS
