name,n_test,mae
A.J. Greer,36,0.16574606821582563
Aaron Ekblad,28,0.5119292909766422
Aatu Raty,14,0.31777625302125495
Adam Beckman,2,0.08725877414790771
Adam Boqvist,33,0.27800944240496084
Adam Edstrom,20,0.3593506526204868
Adam Fantilli,32,0.6134215024544789
Adam Fox,28,0.5414078458504227
Adam Gaudette,34,0.29633246349290027
Adam Henrique,36,0.3211868013155035
Adam Klapka,21,0.3878576575935425
Adam Larsson,31,0.3354535359978357
Adam Lowry,33,0.33964175727613505
Adam Pelech,25,0.253074229623844
Adam Wilsby,11,0.16155350570049842
Adin Hill,35,0.08412388094602749
Adrian Kempe,34,0.6073498986335918
Akil Thomas,33,0.16834410668109495
Akira Schmid,10,0.08482052387977866
Albert Johansson,32,0.27374393972589695
Alec Martinez,23,0.256979416065411
Aleksander Barkov,36,0.4313812469944047
Aleksei Kolosov,23,0.08460850211733262
Aleksi Heimosalmi,1,0.08116314847758505
Ales Stezka,5,0.0823822736116496
Alex Barré-Boulet,2,0.08725877414790773
Alex DeBrincat,32,0.6180661688674329
Alex Iafallo,36,0.2971313388884815
Alex Killorn,32,0.41882112260560156
Alex Laferriere,34,0.34261880686745816
Alex Lyon,29,0.08326508836390321
Alex Nedeljkovic,30,0.19397467435058693
Alex Newhook,34,0.27237011250736176
Alex Ovechkin,30,0.2930649477555914
Alex Pietrangelo,36,0.3715420051963222
Alex Steeves,7,0.378718927021369
Alex Tuch,32,0.5803511511274282
Alex Turcotte,33,0.14728459942730845
Alex Vlasic,32,0.3182692183819359
Alexandar Georgiev,31,0.11638505895673454
Alexander Alexeyev,34,0.08403167820479569
Alexander Holtz,26,0.1704370956941565
Alexander Kadeykin,2,0.08116314847758506
Alexander Kerfoot,32,0.3690075222341929
Alexander Nikishin,4,0.08725877414790773
Alexander Nylander,6,0.08319502370102595
Alexander Pelevin,1,0.08116314847758505
Alexander Perevalov,1,0.08116314847758506
Alexander Petrovic,8,0.3312743584272836
Alexander Romanov,31,0.16748536979245796
Alexander Rykov,1,0.08116314847758507
Alexander Siryatsky,1,0.08116314847758507
Alexander Wennberg,32,0.3737249004000631
Alexandre Carrier,33,0.22885394508872392
Alexandre Doucet,2,0.08116314847758507
Alexandre Texier,33,0.29314849512330593
Alexey Toropchenko,35,0.2521629302784181
Alexis Lafrenière,31,0.3155093828990709
Aliaksei Protas,35,0.31190283639738703
Amadeus Lombardi,2,0.08116314847758507
Anders Lee,31,0.3746414873483238
Andre Burakovsky,31,0.4607155722258282
Andre Lee,13,0.2981808774152326
Andreas Athanasiou,8,0.20774265987001495
Andreas Englund,31,0.1977395024261928
Andrei Kuzmenko,32,0.5321117255271096
Andrei Svechnikov,36,0.5774142903285436
Andrei Vasilevskiy,33,0.14704436907941967
Andrew Copp,23,0.4162492831161245
Andrew Mangiapane,35,0.24775894617266647
Andrew Peeke,32,0.23753455511304458
Andrey Krutov,1,0.08116314847758506
Angus Crookshank,6,0.3040918699898773
Anthony Beauvillier,38,0.2961204860208702
Anthony Cirelli,33,0.33980540283427735
Anthony Duclair,22,0.1360330118307348
Anthony Mantha,6,0.3625598511541737
Anthony Richard,7,0.15107659078323016
Anthony Stolarz,27,0.11931498466223461
Anton Forsberg,33,0.08522689892446685
Anton Johansson,2,0.08116314847758505
Anton Lundell,36,0.4442040786592434
Antonin Verreault,1,0.08116314847758505
Antti Tuomisto,2,0.08116314847758507
Anttoni Honka,1,0.08116314847758505
Anze Kopitar,34,0.5283045302757355
Arber Xhekaj,34,0.2447484595910429
Arshdeep Bains,8,0.48554997346372786
Artem Zub,29,0.27178948583564944
Artemi Panarin,31,0.6854880799163673
Arthur Kaliyev,18,0.23428814005481835
Arttu Hyry,3,0.08116314847758505
Artturi Lehkonen,29,0.4874731697387191
Artur Akhtyamov,2,0.08116314847758505
Arturs Silovs,20,0.08360139874571412
Artyom Levshunov,8,0.18375751519000438
Arvid Soderblom,11,0.0828255918422185
Arvid Söderblom,21,0.08493663103540386
Austin Baker,2,0.08116314847758507
Austin Strand,2,0.08116314847758507
Austin Watson,7,0.3531102898614799
Auston Matthews,32,0.6329734504689004
Axel Jonsson-Fjallby,3,0.08522689892446683
Aydar Suniev,4,0.08421096131274637
Barclay Goodrow,30,0.28329014529964436
Barrett Hayton,32,0.46831144710279193
Beck Malenstyn,32,0.24812798095144872
Ben Chiarot,32,0.22527240426076972
Ben Hutton,30,0.17190735820886463
Ben Jones,14,0.08290475581196297
Ben Meyers,5,0.08482052387977863
Blake Coleman,32,0.4136352587778627
Blake Lizotte,27,0.21632705290878088
Bo Horvat,31,0.40879740742354637
Bobby Brink,32,0.4791588993106607
Bobby McMann,33,0.2335333853348855
Bokondji Imama,13,0.23996439002553654
Boone Jenner,12,0.40290014303516136
Bowen Byram,32,0.31311984894288614
Brad Lambert,5,0.5824622386730269
Brad Marchand,36,0.48043388739986637
Braden Schneider,31,0.24939947774847812
Bradly Nadeau,2,0.3190635992154956
Brady Cleveland,2,0.08116314847758506
Brady Skjei,32,0.42604185291554736
Brady Tkachuk,34,0.4242921613070596
Brandon Carlo,37,0.2770559792197525
Brandon Duhaime,35,0.2662027417560823
Brandon Hagel,33,0.3925754423683403
Brandon Halverson,2,0.08725877414790775
Brandon Montour,31,0.46235191604758547
Brandon Saad,34,0.17188963356851486
Brandon Tanev,35,0.18452868658184574
Brandt Clarke,34,0.27233728711953153
Brayden McNabb,36,0.24844915605268744
Brayden Pachal,32,0.376952200025106
Brayden Point,33,0.4259260985001713
Brayden Schenn,34,0.42667966058763557
Brayden Yager,3,0.08116314847758507
Braydon McCallum,1,0.08116314847758506
Brendan Brisson,6,0.08116314847758506
Brendan Gallagher,34,0.37172980726061117
Brendan Gaunce,14,0.1516631602494651
Brendan Lemieux,2,0.20580097267584618
Brendan Smith,35,0.22808947975465704
Brenden Dillon,34,0.1712692530737714
Brennan Ali,2,0.08116314847758505
Brennan Othmann,10,0.2813837944544165
Brent Burns,36,0.2975643478372672
Brett Berard,17,0.3596055912881652
Brett Howden,36,0.35308743022399347
Brett Kulak,36,0.23003471040617773
Brett Leason,32,0.3440430607061156
Brett Murray,2,0.08116314847758507
Brett Pesce,31,0.27511702294459245
Brian Dumoulin,34,0.23414792868961082
Brian Halonen,5,0.08482052387977865
Brock Boeser,32,0.4572833149059357
Brock Faber,34,0.17068596228576957
Brock McGinn,12,0.2093795492803466
Brock Nelson,33,0.4256670949058873
Brogan Rafferty,2,0.08116314847758506
Bryan Rust,30,0.6809895738933874
Bryce Montgomery,1,0.08116314847758506
Cade Webber,3,0.08116314847758506
Cale Fleury,13,0.15812044384672302
Cale Makar,34,0.439795869994301
Caleb Jones,8,0.08268705489516573
Callahan Burke,4,0.33290577296660373
Calle Jarnkrok,14,0.12479069421706877
Calum Ritchie,4,0.2152593256418531
Calvin Pickard,36,0.11150507229260152
Calvin de Haan,33,0.2476919357338087
Cam Atkinson,30,0.30326716058729253
Cam Dineen,6,0.08522689892446685
Cam Fowler,31,0.6092801514934268
Cam Talbot,32,0.08306803149956088
Cam York,27,0.23077131017833127
Cameron Crotty,5,0.08482052387977865
Cameron Lund,6,0.23112722102944694
Carl Grundstrom,31,0.29575467847340425
Carl Lindbom,3,0.08116314847758507
Carson Bantle,2,0.08116314847758506
Carson Lambos,2,0.08116314847758505
Carson Soucy,32,0.27431519832398416
Carter Kowalyk,1,0.08116314847758506
Carter Mazur,2,0.08116314847758506
Carter Verhaeghe,36,0.6159317757420079
Carter Yakemchuk,2,0.27845407698076136
Casey Cizikas,31,0.35301185546351926
Casey DeSmith,35,0.11288217995943083
Casey Mittelstadt,32,0.3352929683033619
Cayden Primeau,15,0.08319502370102594
Chad Ruhwedel,9,0.18676608300918338
Chandler Stephenson,31,0.3227903920076339
Charles-Alexis Legault,1,0.08116314847758506
Charlie Coyle,35,0.2567072105476721
Charlie Forslund,2,0.08116314847758506
Charlie Lindgren,34,0.08403167820479572
Charlie McAvoy,20,0.5555813513319295
Chris Driedger,9,0.08454960718331987
Chris Kreider,28,0.39103164187493805
Chris Wagner,13,0.15614844951340628
Christian Dvorak,34,0.4246581804367652
Christian Fischer,33,0.25488828556401255
Christopher Tanev,34,0.20189407420481784
Clark Bishop,4,0.3204011657130015
Claude Giroux,34,0.4200799410095527
Clay Stevenson,2,0.08725877414790773
Clayton Keller,32,0.5164188617138561
Cody Ceci,37,0.19519964761834543
Cody Glass,31,0.23927461140351391
Cole Caufield,34,0.29903142446421044
Cole Koepke,30,0.3545629810837974
Cole Perfetti,36,0.3789548017830224
Cole Reinhardt,14,0.15125847502208192
Cole Schwindt,30,0.3174997932482608
Cole Sillinger,28,0.34272572534340645
Cole Smith,28,0.21537280594574074
Colin Blackwell,35,0.21801682115546214
Colin Miller,36,0.24567423970906685
Colin White,3,0.08725877414790771
Collin Graf,14,0.2914837537954632
Colten Ellis,1,0.08116314847758505
Colton Dach,16,0.15106630966573836
Colton Parayko,34,0.46407944919142824
Colton Sissons,32,0.16730830795171822
Colton White,5,0.08482052387977863
Connor Bedard,33,0.4919618551451718
Connor Brown,36,0.37320219158714774
Connor Clifton,32,0.2813406060137751
Connor Dewar,23,0.28928220830787266
Connor Hellebuyck,36,0.11218236403374846
Connor Ingram,16,0.1643289804924951
Connor Lockhart,1,0.08116314847758505
Connor Mackey,2,0.08116314847758506
Connor McDavid,36,0.694784712478788
Connor McMichael,35,0.405688333702694
Connor Murphy,29,0.1482189171904531
Connor Zary,26,0.25746555853599346
Conor Garland,32,0.4454328520519074
Conor Geekie,23,0.27995690066527174
Conor Sheary,4,0.08725877414790773
Conor Timmins,32,0.29031039047630597
Corey Perry,36,0.4161706907441899
Corey Schueneman,4,0.3204011657130015
Craig Smith,28,0.155290494536148
Cross Hanas,2,0.08116314847758506
Curtis Lazar,30,0.2150604650799389
Cutter Gauthier,32,0.43934213093252095
Daemon Hunt,4,0.08725877414790773
Dakota Joshua,22,0.24212567208034394
Dakota Mermis,11,0.17377512273301798
Dalibor Dvorsky,4,0.5231500343282202
Damon Severson,32,0.1823386760706174
Dan Vladar,31,0.11457492816045288
Daniel Sprong,24,0.27631323632155924
Daniil Miromanov,32,0.2964584144037139
Daniil Misyul,2,0.18079175816864163
Daniil Tarasov,32,0.11529781276947859
Danil Gushchin,7,0.8966486929997993
Dante Fabbro,33,0.35133056190648754
Danton Heinen,32,0.33422739230898024
Darcy Kuemper,31,0.11677832512901343
Darnell Nurse,36,0.2929425466248433
Darren Raddysh,33,0.37365261656247234
David Gustafsson,36,0.24087520365856138
David Jiricek,16,0.25713334121755593
David Kampf,32,0.16510689329006717
David Pastrnak,32,0.9521321412575038
David Perron,29,0.23927608093358832
David Rittich,34,0.08510737685249975
David Savard,34,0.23253357168407507
Dawson Mercer,34,0.44243777623914105
Declan Carlile,3,0.13759541344800008
Declan Chisholm,34,0.2028638937380894
Dennis Cholowski,30,0.3512404040666437
Dennis Gilbert,34,0.23678948559678017
Dennis Hildeby,11,0.08504218299506311
Denton Mateychuk,20,0.3253599545455793
Derek Forbort,28,0.28022233176294675
Derek Ryan,24,0.2609439384646068
Devin Shore,25,0.25260834506321045
Devon Levi,8,0.08268705489516573
Devon Toews,34,0.47331833256264877
Dmitri Buchelnikov,2,0.08116314847758505
Dmitri Voronkov,29,0.4223442800761564
Dmitry Kulikov,36,0.24154916402894397
Dmitry Orlov,36,0.24105851315343083
Domenick Fensore,2,0.08116314847758505
Dominic Toninato,10,0.08482052387977866
Dominik Shine,8,0.20230606351287395
Donovan Sebrango,5,0.43353353202402856
Dougie Hamilton,34,0.3067304146345686
Drake Batherson,34,0.5391886992022941
