name,n_test,mae
A.J. Greer,114,0.19550904844021588
AJ Spellacy,1,0.027179840952157974
Aaron Ekblad,92,0.5587298142845216
Aaron Huglen,2,0.503992423415184
Aaron Ness,3,0.01097885767618815
Aaron Pionk,5,0.004809868335723877
Aatos Koivu,4,0.004481203854084015
Aatu Jamsen,2,0.004242619499564171
Aatu Raty,46,0.3062097286886495
Abram Wiebe,5,0.004847012460231781
Adam Beckman,9,0.0045518506732251905
Adam Benak,1,0.1358131319284439
Adam Boqvist,93,0.1973008883976808
Adam Edstrom,60,0.23523736565063397
Adam Engstrom,8,0.004361577797681093
Adam Erne,10,0.40162222273647785
Adam Fantilli,93,0.7047834075106088
Adam Fox,82,0.772311129084811
Adam Gaudette,96,0.40470150493395823
Adam Klapka,1,0.0014142729341983795
Albert Johansson,5,0.20197841972112657
Alec Martinez,2,0.004126671701669693
Alex Iafallo,5,0.6006806023418904
Alex Killorn,2,0.009609786793589592
Alex Lyon,3,0.0006000325083732605
Alex Nedeljkovic,52,0.059338447996056996
Alex Newhook,85,0.34311516990556434
Alex Ovechkin,74,0.7955519973828986
Alex Pharand,5,0.004043454676866532
Alex Pietrangelo,79,0.4820081046016156
Alex Steeves,19,0.0031440573695458865
Alex Tuch,70,0.6634872292301485
Alex Turcotte,22,0.3199014284394004
Alexander Romanov,2,0.0036095865070819855
Alexandre Carrier,1,0.0038128308951854706
Alexandre Texier,4,0.004407527856528759
Alexis Lafrenière,1,0.00040137767791748047
Aliaksei Protas,3,0.6698974631726742
Anders Lee,3,1.0040772731105487
Andre Burakovsky,8,0.36609319830313325
Andre Lee,3,0.005129655202229817
Andreas Athanasiou,1,0.004140079021453857
Andreas Englund,6,0.0025856047868728638
Andrei Buyalsky,1,0.009186025708913803
Andrei Kuzmenko,3,1.0025418723622959
Andrei Loshko,1,0.0028425194323062897
Andrei Svechnikov,69,0.5997455776061701
Andrei Vasilevskiy,68,0.031245021642569232
Andrew Agozzino,8,0.25364147033542395
Andrew Basha,4,0.25284609757363796
Andrew Copp,61,0.45149326122930794
Andrew Cristall,8,0.3759253155440092
Andrew Gibson,2,0.007954642176628113
Andrew Mangiapane,86,0.35261870249239513
Andrew Peeke,53,0.247903066704858
Anthony Cirelli,1,0.9914774373173714
Artturi Lehkonen,1,0.017903301864862442
Arvid Soderblom,1,0.00470980629324913
Ayrton Martino,1,0.0023497305810451508
Barclay Goodrow,29,0.0713246196251491
Barrett Hall,4,0.0036789504811167717
Barrett Hayton,78,0.6811182733434133
Basile Sansonnens,3,0.003197846313317617
Bauer Berry,3,0.002100105086962382
Bear Hughes,4,0.005943693220615387
Beau Akey,5,0.20269843563437462
Beau Jelsma,4,0.00596393458545208
Beck Malenstyn,82,0.13606423121399996
Beckett Hendrickson,4,0.00417389627546072
Beckett Sennecke,9,0.5553202591836452
Ben Chiarot,87,0.12882069982160096
Ben Danford,4,0.005931669846177101
Ben Gleason,3,0.6679833792150021
Ben Harpur,3,0.3427439828713735
Ben Hemmerling,1,0.0033300109207630157
Ben Hutton,76,0.054945459001158416
Blake Montgomery,1,0.0024955198168754578
Bo Horvat,1,1.9787085764110088
Brad Gardiner,1,0.01306406781077385
Brad Lambert,2,0.9996597897261381
Brad Marchand,3,0.7352571884791056
Brady Tkachuk,2,0.023096803575754166
Braeden Bowman,1,0.010132800787687302
Brandon Biro,1,1.9971574805676937
Brandon Carlo,1,0.006043866276741028
Brayden McNabb,19,0.3173936781914611
Brayden Pachal,75,0.2032998389005661
Brayden Point,83,0.8177903319697782
Brayden Schenn,80,0.5601373973302544
Brayden Yager,12,0.17008705530315638
Braydon McCallum,4,0.005958051420748234
Brendan Brisson,18,0.11588636930618021
Brendan Furry,5,0.2044257938861847
Brendan Gallagher,91,0.47574749507091857
Brendan Gaunce,36,0.05725386728429132
Brendan Lemieux,2,0.005313213914632797
Brendan Smith,83,0.08626526867948382
Brent Johnson,1,0.001029863953590393
Brett Berard,8,0.2519144550897181
Brett Budgell,3,0.0015835041801134746
Brett Harrison,1,0.9962487891316414
Brett Howden,22,0.5467210090295835
Bryan Rust,4,0.48073325119912624
Bulat Shafigullin,1,0.0008496604859828949
Caedan Bankier,1,0.003228224813938141
Cale Fleury,3,0.0035551066199938455
Cale Makar,3,1.656060453504324
Caleb Jones,1,0.0035825222730636597
Callahan Burke,2,0.006735201925039291
Calle Jarnkrok,4,0.5014911647886038
Calle Rosen,1,0.0027081742882728577
Calum Ritchie,1,0.015448309481143951
Calvin Pickard,8,0.0017903759144246578
Calvin de Haan,2,0.0019036903977394104
Cam Atkinson,4,0.003324326127767563
Cam Dineen,7,0.14481688769800322
Cam Fowler,51,0.6883656358455911
Cam Squires,5,0.001940927654504776
Cam Talbot,70,0.0168569485523871
Cam Thiesing,2,0.0031474363058805466
Cam Wright,4,0.005155287683010101
Cam York,66,0.2447562955432769
Cameron Allen,1,0.011718545109033585
Cameron Berg,5,0.4007179789245129
Cameron Butler,1,0.0466228611767292
Cameron Crotty,15,0.0035667705039183297
Cameron Hebig,4,0.5005327193066478
Cameron Hughes,3,0.3333614207804203
Cameron Lund,17,0.17895272987730362
Cameron O'Neill,3,0.0033804339667161307
Carey Terrance,4,0.005422861315310001
Carl Berglund,5,0.004703693836927414
Carl Grundstrom,72,0.11307265950987737
Carl Lindbom,10,0.0018850598484277726
Carsen Twarynski,2,0.0016993209719657898
Carson Bantle,9,0.004225485854678684
Carson Bjarnason,2,0.010570608079433441
Carson Golder,1,0.0030588284134864807
Carson Lambos,10,0.2029282283037901
Carson Meyer,2,0.006731916218996048
Carson Rehkopf,1,0.012915607541799545
Carson Soucy,63,0.2087213976515664
Casey Cizikas,1,0.004391547292470932
Cayden Primeau,1,0.0031786859035491943
Charlie Forslund,1,0.0034328289330005646
Christian Dvorak,3,0.3374910292526086
Christian Fischer,2,0.004264535382390022
Christian Wolanin,1,0.0032611750066280365
Christopher Tanev,5,0.20224318876862526
Claude Giroux,1,0.004378393292427063
Cody Ceci,8,0.25332660134881735
Cody Glass,69,0.2650716147668984
Colby Barlow,3,0.33851685623327893
Cole Beaudoin,2,0.0043537914752960205
Cole Brown,4,0.0038183629512786865
Cole Caufield,86,0.7048151440441955
Cole Clayton,6,0.17028499332567057
Cole Eiserman,4,0.004550597630441189
Cole Guttman,5,0.20285024791955947
Cole Hutson,3,0.001897490272919337
Cole Knuble,5,0.005383998900651932
Cole Koepke,79,0.27655509798021255
Cole Krygier,1,0.004395231604576111
Cole McWard,4,0.003265179693698883
Cole O'Hara,5,0.20326733365654945
Cole Perfetti,66,0.7210478429880106
Cole Reinhardt,36,0.06340010164098607
Cole Schwindt,24,0.2532727938766281
Colin Blackwell,19,0.15946719128834574
Colton Parayko,2,0.5146466828882694
Connor Clifton,5,0.5995203241705894
Connor Dewar,8,0.004099575337022543
Connor Hellebuyck,9,0.0017367613812287648
Connor Ingram,4,0.25202676374465227
Connor Levis,1,0.0022451020777225494
Connor Mackey,1,0.011542078107595444
Connor McDavid,2,2.0677994526922703
Connor McMichael,4,1.0734845604747534
Connor Murphy,4,0.002223098650574684
Connor Zary,4,0.007555229589343071
Conor Garland,1,0.993361085653305
Conor Geekie,15,0.27107316479086874
Conor Sheary,9,0.33680154755711555
Conor Timmins,58,0.10560697214356785
Conor Walton,4,0.0016429442912340164
Cooper Black,1,0.0008413530886173248
Cooper Flinton,1,0.004066776484251022
Cooper Foster,3,0.005737017840147018
Cooper Marody,3,0.006109174340963364
Cooper Walker,3,0.0043884192903836565
Corey Andonovski,3,0.005921753744284312
Corey Perry,83,0.4222036284136485
Corey Schueneman,13,0.002873526169703557
Corson Ceulemans,2,0.0066521260887384415
Coulson Pitre,2,0.0025776419788599014
Craig Smith,68,0.26973379469093156
Cristophe Tellier,1,0.012437693774700165
Cross Hanas,7,0.004273289548499244
Cruz Lucius,5,0.005054204165935517
Curtis Douglas,7,0.003067942602293832
Curtis Hall,2,0.027851400896906853
Curtis Lazar,75,0.06783224786321322
Curtis McKenzie,4,0.006118633784353733
Cutter Gauthier,10,0.402091096714139
Dans Locmelis,1,0.007392898201942444
Danton Heinen,2,0.5002264138311148
Darcy Kuemper,10,0.0039158064872026445
Darnell Nurse,9,0.44499751387370956
David Edstrom,1,0.9900297522544861
David Gustafsson,5,0.001675654947757721
David Jiricek,5,0.20254275649785997
David Kampf,1,0.003641519695520401
David Spacek,1,0.007581301033496857
David Tomasek,1,0.0006578341126441956
Dawson Mercer,42,0.4280067742580459
Daylan Kuefler,2,0.017533930018544197
Dean Letourneau,1,0.0019856393337249756
Declan Carlile,10,0.2026295941323042
Declan Chisholm,90,0.1688061902920405
Demetrios Koumontzis,4,0.003051457926630974
Dennis Cesana,1,0.012437693774700165
Dennis Cholowski,82,0.17558135078629342
Dennis Gilbert,91,0.06807916656464011
Dennis Good Bogg,4,0.004550597630441189
Dennis Hildeby,37,0.002536710653756116
Denton Mateychuk,41,0.319261264873714
Denver Barkey,7,0.004371594105448041
Derek Daschke,2,0.0055991280823946
Derek Forbort,41,0.09995021680142821
Drake Caggiula,1,0.0033298246562480927
Drew Doughty,2,0.002877412363886833
Drew Fortescue,1,0.001157328486442566
Drew Helleson,3,0.001787617802619934
Drew O'Connor,4,0.25346912536770105
Dryden Hunt,2,0.0032119452953338623
Dustin Tokarski,1,0.0054401010274887085
Dustin Wolf,4,0.25089306011796
Dylan Guenther,1,1.060711145401001
Dylan McIlrath,15,0.06982042615612348
Dylan Peterson,1,0.0024525970220565796
Dylan Roobroeck,4,0.0029359962791204453
Dylan Samberg,65,0.30973411678121643
Dylan Strome,84,0.6982273107305879
Dylan Wendt,1,0.004442531615495682
Dyllan Gill,1,0.012330513447523117
Dysin Mayo,10,0.0035359017550945283
EJ Emery,4,0.0018407460302114487
Eamon Powell,1,0.012437693774700165
Easton Armstrong,3,0.005649195363124211
Easton Cowan,9,0.44616950220531887
Eduard Sale,4,0.2523800125345588
Eeli Tolvanen,86,0.4667881187917881
Eemil Viro,8,0.12893329141661525
Eerik Wallenius,3,0.0016224396725495656
Eetu Liukas,3,0.0037375974158445993
Eetu Luostarinen,101,0.422783274277307
Egor Afanasyev,1,0.02083563432097435
Egor Sokolov,1,0.0006863623857498169
Egor Zamula,73,0.22152990653906782
Eli Barnett,3,0.004752650856971741
Elias Lindholm,5,0.20257126688957214
Elvis Merzlikins,1,0.0009219236671924591
Emil Andrae,1,0.005469243973493576
Emil Bemstrom,6,0.0012366808950901031
Emil Heineman,44,0.24864875542169268
Emil Hemming,1,0.01081988587975502
Emil Jarventie,4,0.005044920369982719
Emil Lilleberg,7,0.288873379783971
Ethen Frank,2,0.0039558373391628265
Evan Bouchard,5,0.5929261043667793
Evan Rodrigues,2,0.007569881156086922
Evgenii Dadonov,45,0.37747978708810276
Evgenii Kashnikov,3,0.004752650856971741
Fabian Lysell,17,0.1207004853469484
Fabian Wagner,1,0.010304238647222519
Fabian Zetterlund,88,0.44167283723469486
Fedor Svechkov,60,0.3037741579736272
Felix Nilsson,4,0.00473237968981266
Felix Sandstrom,5,0.004752349853515625
Felix Unger Sorum,4,0.25709109008312225
Felix Unger-Sorum,3,1.3281542249023914
Filip Bystedt,2,0.00512276403605938
Filip Chytil,89,0.35054531639044206
Filip Eriksson,3,0.003791380673646927
Filip Forsberg,71,0.8232574194249972
Filip Gustavsson,58,0.036241406574845314
Frank Nazar,1,2.0377302542328835
Frank Vatrano,8,0.1298027876764536
Gage Goncalves,3,0.6683885306119919
Igor Shesterkin,10,0.0011918529868125915
Ilya Lyubushkin,54,0.15214162023255118
Ilya Mikheyev,63,0.4143151594769387
Ilya Pautov,3,0.0027861992518107095
Ilya Protas,6,0.3359101911385854
Ilya Safonov,3,0.006642164041598638
Ilya Samsonov,66,0.0019516564454093125
Ilya Solovyov,11,0.09363916211507538
Ilya Sorokin,59,0.035532347479109036
Isaac Howard,9,0.22813954204320908
Isaac Poulter,9,0.002866468909713957
Isaac Ratcliffe,6,0.0037481325368086496
Isaak Phillips,24,0.08579191146418452
Isac Lundestrom,81,0.16223312790195146
Isaiah George,41,0.12487477073218764
Isak Rosen,21,0.19246473535895348
Isak Walther,4,0.00473237968981266
Israel Mianscum,3,0.00220314289132754
Ivan Barbashev,65,0.586796763080817
Ivan Demidov,12,0.4191786327088873
Ivan Fedotov,42,0.0029885245575791315
Ivan Provorov,3,0.3356730466087659
Jacob Bryson,2,0.002672828733921051
Jacob Markstrom,3,0.0009477051595846812
Jacob Melanson,1,0.0018632039427757263
Jacob Middleton,6,0.1641080491244793
Jacob Moverare,19,0.15965960919857025
Jacob Murray,2,0.0017965920269489288
Jacob Perreault,4,0.0034606605768203735
Jacob Quillan,13,0.0033198901667044712
Jacob Trouba,81,0.16306719078141965
Jacob Truscott,1,0.989001177251339
Jaden Lipinski,4,0.003051457926630974
Jaden Schwartz,85,0.5979687224854441
Jagger Firkus,4,0.2531251832842827
Jake Allen,89,0.0015839741805965982
Jake Bean,90,0.10203362984789742
Jake Bischoff,4,0.005943693220615387
Jake Boltmann,4,0.003051457926630974
Jake Chiasson,1,0.007193285971879959
Jake Christiansen,72,0.12705249272079933
Jake DeBrusk,59,0.5182624194076506
Jake Evans,28,0.47801066136785914
Jakub Lauko,3,0.3363189212977886
Jani Nyman,2,0.49828389659523964
Janis Moser,13,0.22959065809845924
Janne Peltonen,4,0.005546546541154385
Jansen Harkins,61,0.06798093930863944
Jared Davidson,4,0.0040907468646764755
Jared McCann,76,0.6179155425021523
Jared Spurgeon,82,0.4339340940208697
Jared Woolley,4,0.25064951181411743
Jared Wright,4,0.25177904684096575
Jaret Anderson-Dolan,28,0.14540212534900224
Jaroslav Chmelar,3,0.0029830895364284515
Jarred Tinordi,5,0.002755315601825714
Jason Dickinson,67,0.22692337621058992
Jason Polin,6,0.0027220180879036584
Jason Robertson,90,0.6964808336148659
Jason Zucker,2,0.007523104548454285
Jayden Struble,17,0.12076839256812544
Jeremie Poirier,1,0.0019059404730796814
Jeremy Lauzon,1,0.0035626403987407684
Jimmy Vesey,3,0.002628353734811147
Jiri Kulich,4,0.0039803627878427505
Joe Connor,1,0.004744328558444977
Joe Veleno,5,0.20355947092175483
Joel Edmundson,2,0.004396962001919746
Joel Eriksson Ek,6,1.3120147126416366
Joel Farabee,50,0.3420039875805378
Joel Hanley,82,0.11129427492255117
Joel Hofer,88,0.013647683049467478
Joel Kiviranta,81,0.2616745323218681
Joel Maatta,3,0.004321525494257609
Joel Nystrom,3,0.6717864610254765
Joel Ratkovic Berndtsson,2,0.003334490582346916
Joel Svensson,4,0.003200697712600231
Joel Teasdale,5,0.016405190527439117
Joey Anderson,38,0.02943413371318265
Joey Daccord,64,0.03259879437973723
Joey Keane,3,0.004034892966349919
Joey Larson,1,0.011911403387784958
Joey Muldowney,3,0.004752650856971741
Joey Willis,5,0.0046054206788539885
John Beecher,17,0.35561136572676544
John Hayden,1,0.002532895654439926
John Klingberg,1,0.00416811928153038
Jon Merrill,1,0.002483207732439041
Jonas Johansson,2,0.0016132555902004242
Jonas Rondbjerg,1,0.005342569202184677
Jonathan Huberdeau,2,0.5224737524986267
Jonathan Lekkerimaki,2,0.005534220486879349
Jonathan Marchessault,4,0.775613178499043
Jonathan Quick,2,0.002797463908791542
Joonas Korpisalo,5,0.0020913034677505493
Jordan Binnington,74,0.0015393158269895089
Jordan Dumais,6,0.012383260453740755
Jordan Eberle,46,0.5720495933909779
Jordan Frasca,1,0.009045954793691635
Jordan Greenway,50,0.12357370339334012
Jordan Gustafson,5,0.005459437519311905
Jordan Harris,85,0.09975737482309341
Jordan Kyrou,81,0.6277376244557492
Jordan Martinook,59,0.4332372207762831
Joshua Mahura,4,0.2524395138025284
Joshua Roy,1,0.0024646036326885223
Josiah Didier,1,0.003180127590894699
Justin Barron,1,1.0013545528054237
Justin Brazeau,7,0.2889587884502752
Justin Cloutier,1,0.010590281337499619
Justin Danforth,3,0.0033507173260053
Justin Faulk,8,0.3773213690146804
Justin Gill,2,0.0061014387756586075
Justin Holl,61,0.11662214817326577
Justin Hryckowian,13,0.38841262373786706
Justin Janicke,4,0.0036789504811167717
Justin Kipkie,4,0.0018878504633903503
Justin Kirkland,29,0.31338585656264734
Justin Larose,2,0.0024335645139217377
Justin Lee,5,0.005054204165935517
Justin Nachbaur,3,0.0030555278062820435
Justin Pearson,5,0.013969362527132035
Justin Poirier,3,0.003941383212804794
Justin Robidas,9,0.7752555592192544
Justin Sourdif,8,0.15621915459632874
Justus Annunen,84,0.001899480464912596
Juuse Saros,59,0.021058517744985676
Juuso Parssinen,69,0.2671724442338598
Juuso Valimaki,3,0.00550879289706548
Kaedan Korczak,20,0.15141867566853762
Kai Schwindt,1,0.004816457629203796
Kai Uchacz,1,0.0055302903056144714
Kaiden Guhle,5,0.40038649290800093
Karel Vejmelka,2,0.0037919022142887115
Kent Johnson,1,1.0138396993279457
Kevin Mandolese,1,0.0012544579803943634
Kevin Rooney,6,0.168345266332229
Kevin Stenlund,7,0.429556097303118
Kiefer Sherwood,4,0.24945019278675318
Kirill Kaprizov,3,0.35230664412180585
Kirill Kudryavtsev,1,0.008802089840173721
Kirill Marchenko,37,0.707474729801352
Kirill Slepets,3,0.006346963346004486
Kirill Tankov,5,0.005054204165935517
