name,n_test_rf,mae_rf,n_test_dss,mae_dss,delta_rf_minus_dss,winner
Alex Lyon,2,0.10128396726486258,2,0.0026089847087860107,0.09867498255607657,DSS
Alex Nedeljkovic,14,0.15079566606101755,14,0.0028039533644914627,0.14799171269652608,DSS
Alex Newhook,14,0.2835351623797505,14,0.21285757369228772,0.0706775886874628,DSS
Alex Ovechkin,15,0.17644803179099314,15,0.19775260339180628,-0.021304571600813144,RF
Alex Pharand,1,0.11286583544374668,1,0.002918422222137451,0.10994741322160922,DSS
Alex Pietrangelo,25,0.1499863068483474,25,0.1197657610476017,0.030220545800745707,DSS
Alex Steeves,4,0.10707490135430464,4,0.001506434753537178,0.10556846660076746,DSS
Alex Tuch,24,0.47409719368969094,24,0.45385004455844563,0.020247149131245312,DSS
Alex Turcotte,18,0.17968905831423956,18,0.11282720561656687,0.0668618526976727,DSS
Alex Vlasic,10,0.31926519927970104,10,0.31593372821807864,0.003331471061622404,DSS
Aliaksei Protas,2,0.2914210422172052,2,0.08498971164226532,0.2064313305749399,DSS
Andre Burakovsky,2,0.4942090659105579,2,0.5011152513325214,-0.006906185421963529,RF
Anton Forsberg,3,0.10900521271745199,3,0.0027684022982915244,0.10623681041916047,DSS
Arber Xhekaj,1,0.10128396726486262,1,0.002487562596797943,0.09879640466806468,DSS
Axel Jonsson-Fjallby,1,0.1128658354437467,1,0.002572454512119293,0.11029338093162741,DSS
Blake Lizotte,2,0.20552312362942915,2,0.017013508826494217,0.18850961480293493,DSS
Bowen Byram,2,0.7706383864809849,2,1.000257771462202,-0.22961938498121715,RF
Brandon Duhaime,2,0.10128396726486258,2,0.002049516886472702,0.09923445037838988,DSS
Brandon Lisowsky,1,0.11286583544374666,1,0.0009569600224494934,0.11190887542129717,DSS
Brandon Montour,1,1.8871341645562534,1,1.9970815777778625,-0.10994741322160917,RF
Brandon Tanev,4,0.16766532882227178,4,0.011763336136937141,0.15590199268533464,DSS
Brayden Schenn,1,0.0,1,0.0013805925846099854,-0.0013805925846099854,RF
Brayden Yager,2,0.1128658354437467,2,0.001971554011106491,0.11089428143264021,DSS
Brendan Smith,2,0.11286583544374668,2,0.0024836361408233643,0.11038219930292331,DSS
Brian Dumoulin,1,0.8871341645562534,1,0.9995918124914169,-0.11245764793516355,RF
Calvin Pickard,2,0.11286583544374668,2,0.002644449472427368,0.11022138597131931,DSS
Cam Fowler,6,0.2520124596717024,6,0.17911202336351076,0.07290043630819162,DSS
Carson Soucy,3,0.109005212717452,3,0.0026327197750409446,0.10637249294241106,DSS
Casey DeSmith,2,0.10128396726486258,2,0.002801399677991867,0.09848256758687071,DSS
Chandler Stephenson,2,0.37992790175999624,2,0.012951426208019257,0.366976475551977,DSS
Chris Driedger,2,0.10128396726486262,2,0.0029785186052322388,0.09830544865963038,DSS
Christian Dvorak,2,0.10128396726486258,2,0.0016114115715026855,0.0996725556933599,DSS
Cody Glass,3,0.5137589243206565,3,0.6680562992890676,-0.15429737496841112,RF
Collin Graf,2,0.3942218869436159,2,0.02883422002196312,0.36538766692165275,DSS
Connor Bedard,2,0.10707490135430464,2,0.1452859304845333,-0.03821102913022867,RF
Connor Brown,2,0.2922863828931822,2,0.43523089587688446,-0.14294451298370225,RF
Connor Dewar,2,0.10707490135430461,2,0.001274261623620987,0.10580063973068363,DSS
Connor Ingram,2,0.10128396726486258,2,0.0026758648455142975,0.09860810241934828,DSS
Connor Murphy,2,1.0,2,1.0006705410778522,-0.0006705410778522491,RF
Connor Zary,2,0.29631280234567525,2,0.5012871436774731,-0.20497434133179782,RF
Conor Timmins,2,0.1012839672648626,2,0.002554718405008316,0.09872924885985429,DSS
Cutter Gauthier,2,0.25922094141522606,2,0.004136785864830017,0.25508415555039604,DSS
Dan Vladar,2,0.10707490135430466,2,0.002690516412258148,0.10438438494204651,DSS
Daniel Sprong,4,0.3360543645735429,4,0.006000017747282982,0.3300543468262599,DSS
Daniil Karpovich,1,0.10128396726486258,1,0.0033361613750457764,0.0979478058898168,DSS
Darcy Kuemper,2,0.11286583544374672,2,0.0023839324712753296,0.11048190297247139,DSS
Darren Raddysh,2,0.29228638289318215,2,0.0010178424417972565,0.2912685404513849,DSS
David Pastrnak,4,0.21873593003681818,4,0.13843064568936825,0.08030528434744993,DSS
